Id,MSZoning,LotArea,OverallQual,OverallCond,YearBuilt,ExterQual,TotalBsmtSF,GrLivArea,SalePrice,BedroomAbvGr,FullBath,HalfBath,Fireplaces,GarageCars,GarageArea,PoolArea
1,RL,8450,7,5,2003,Gd,856,1710,208500,2,1,1,0,3,127,1
2,RL,9600,6,8,1976,TA,1262,1262,181500,4,3,1,1,1,179,0
3,RL,11250,7,5,2001,Gd,920,1786,223500,3,3,0,0,3,382,1
4,RL,9550,7,5,1915,TA,756,1717,140000,1,3,1,0,1,490,0
5,RL,14260,8,5,2000,Gd,1145,2198,250000,4,1,1,0,1,487,1
6,RL,14115,5,5,1993,TA,796,1362,143000,3,2,1,0,3,264,0
7,RL,10084,8,5,2004,Gd,1686,1694,307000,3,1,0,1,1,359,1
8,RL,10382,7,6,1973,TA,1107,2090,200000,5,1,0,0,2,151,1
9,RM,6120,7,5,1931,TA,952,1774,129900,3,2,1,1,2,147,0
10,RL,7420,5,6,1939,TA,991,1077,118000,1,1,1,1,2,168,0
11,RL,11200,5,5,1965,TA,1040,1040,129500,2,1,0,0,2,468,0
12,RL,11924,9,5,2005,Ex,1175,2324,345000,4,3,0,1,1,392,0
13,RL,12968,5,6,1962,TA,912,912,144000,2,1,0,1,3,377,0
14,RL,10652,7,5,2006,Gd,1494,1494,279500,3,3,1,0,1,475,1
15,RL,10920,6,5,1960,TA,1253,1253,157000,5,3,0,0,2,365,1
16,RM,6120,7,8,1929,TA,832,854,132000,5,1,1,1,3,420,1
17,RL,11241,6,7,1970,TA,1004,1004,149000,2,3,0,1,1,350,0
18,RL,10791,4,5,1967,TA,0,1296,90000,1,2,0,1,1,115,1
19,RL,13695,5,5,2004,TA,1114,1114,159000,1,3,1,1,2,358,1
20,RL,7560,5,6,1958,TA,1029,1339,139000,3,1,1,1,3,107,1
21,RL,14215,8,5,2005,Gd,1158,2376,325300,2,1,0,1,2,295,1
22,RM,7449,7,7,1930,TA,637,1108,139400,3,3,1,1,1,335,0
23,RL,9742,8,5,2002,Gd,1777,1795,230000,3,1,0,1,2,214,0
24,RM,4224,5,7,1976,TA,1040,1060,129900,5,3,0,0,1,159,1
25,RL,8246,5,8,1968,TA,1060,1060,154000,1,1,1,1,1,457,1
26,RL,14230,8,5,2007,Gd,1566,1600,256300,4,1,1,0,3,449,0
27,RL,7200,5,7,1951,TA,900,900,134800,1,2,1,0,1,117,1
28,RL,11478,8,5,2007,Gd,1704,1704,306000,3,1,1,1,3,114,0
29,RL,16321,5,6,1957,TA,1484,1600,207500,1,2,0,1,3,321,0
30,RM,6324,4,6,1927,TA,520,520,68500,3,3,0,1,1,407,0
31,C (all),8500,4,4,1920,TA,649,1317,40000,1,1,1,1,3,196,1
32,RL,8544,5,6,1966,TA,1228,1228,149350,5,2,0,1,3,362,0
33,RL,11049,8,5,2007,Gd,1234,1234,179900,1,3,0,0,1,441,0
34,RL,10552,5,5,1959,TA,1398,1700,165500,1,3,0,0,3,230,1
35,RL,7313,9,5,2005,Ex,1561,1561,277500,2,3,0,1,2,250,1
36,RL,13418,8,5,2004,Gd,1117,2452,309000,5,3,0,0,3,116,1
37,RL,10859,5,5,1994,TA,1097,1097,145000,1,2,0,0,3,221,1
38,RL,8532,5,6,1954,TA,1297,1297,153000,2,1,1,1,1,201,0
39,RL,7922,5,7,1953,TA,1057,1057,109000,3,1,0,1,2,117,0
40,RL,6040,4,5,1955,TA,0,1152,82000,1,1,0,0,2,182,0
41,RL,8658,6,5,1965,TA,1088,1324,160000,4,3,1,1,1,293,0
42,RL,16905,5,6,1959,TA,1350,1328,170000,2,1,0,1,1,340,1
43,RL,9180,5,7,1983,TA,840,884,144000,3,3,1,0,3,218,1
44,RL,9200,5,6,1975,TA,938,938,130250,3,3,1,1,3,432,1
45,RL,7945,5,6,1959,TA,1150,1150,141000,2,1,0,0,3,278,1
46,RL,7658,9,5,2005,Ex,1752,1752,319900,4,2,1,1,2,326,1
47,RL,12822,7,5,2003,Gd,1434,2149,239686,4,1,0,0,1,278,1
48,FV,11096,8,5,2006,Gd,1656,1656,249700,2,3,1,0,2,386,1
49,RM,4456,4,5,1920,TA,736,1452,113000,5,3,0,1,3,143,1
