Id,MSZoning,LotArea,OverallQual,OverallCond,YearBuilt,ExterQual,TotalBsmtSF,GrLivArea,SalePrice
1,RL,8450,7,5,2003,Gd,856,1710,208500
2,RL,9600,6,8,1976,TA,1262,1262,181500
3,RL,11250,7,5,2001,Gd,920,1786,223500
4,RL,9550,7,5,1915,TA,756,1717,140000
5,RL,14260,8,5,2000,Gd,1145,2198,250000
6,RL,14115,5,5,1993,TA,796,1362,143000
7,RL,10084,8,5,2004,Gd,1686,1694,307000
8,RL,10382,7,6,1973,TA,1107,2090,200000
9,RM,6120,7,5,1931,TA,952,1774,129900
10,RL,7420,5,6,1939,TA,991,1077,118000
11,RL,11200,5,5,1965,TA,1040,1040,129500
12,RL,11924,9,5,2005,Ex,1175,2324,345000
13,RL,12968,5,6,1962,TA,912,912,144000
14,RL,10652,7,5,2006,Gd,1494,1494,279500
15,RL,10920,6,5,1960,TA,1253,1253,157000
16,RM,6120,7,8,1929,TA,832,854,132000
17,RL,11241,6,7,1970,TA,1004,1004,149000
18,RL,10791,4,5,1967,TA,0,1296,90000
19,RL,13695,5,5,2004,TA,1114,1114,159000
20,RL,7560,5,6,1958,TA,1029,1339,139000
21,RL,14215,8,5,2005,Gd,1158,2376,325300
22,RM,7449,7,7,1930,TA,637,1108,139400
23,RL,9742,8,5,2002,Gd,1777,1795,230000
24,RM,4224,5,7,1976,TA,1040,1060,129900
25,RL,8246,5,8,1968,TA,1060,1060,154000
26,RL,14230,8,5,2007,Gd,1566,1600,256300
27,RL,7200,5,7,1951,TA,900,900,134800
28,RL,11478,8,5,2007,Gd,1704,1704,306000
29,RL,16321,5,6,1957,TA,1484,1600,207500
30,RM,6324,4,6,1927,TA,520,520,68500
31,C (all),8500,4,4,1920,TA,649,1317,40000
32,RL,8544,5,6,1966,TA,1228,1228,149350
33,RL,11049,8,5,2007,Gd,1234,1234,179900
34,RL,10552,5,5,1959,TA,1398,1700,165500
35,RL,7313,9,5,2005,Ex,1561,1561,277500
36,RL,13418,8,5,2004,Gd,1117,2452,309000
37,RL,10859,5,5,1994,TA,1097,1097,145000
38,RL,8532,5,6,1954,TA,1297,1297,153000
39,RL,7922,5,7,1953,TA,1057,1057,109000
40,RL,6040,4,5,1955,TA,0,1152,82000
41,RL,8658,6,5,1965,TA,1088,1324,160000
42,RL,16905,5,6,1959,TA,1350,1328,170000
43,RL,9180,5,7,1983,TA,840,884,144000
44,RL,9200,5,6,1975,TA,938,938,130250
45,RL,7945,5,6,1959,TA,1150,1150,141000
46,RL,7658,9,5,2005,Ex,1752,1752,319900
47,RL,12822,7,5,2003,Gd,1434,2149,239686
48,FV,11096,8,5,2006,Gd,1656,1656,249700
49,RM,4456,4,5,1920,TA,736,1452,113000
50,RL,7742,5,7,1966,TA,955,955,127000
51,RL,13869,6,6,1997,TA,794,1470,177000
52,RM,6240,6,6,1934,TA,816,1176,114500
53,RM,8472,5,5,1963,Fa,816,816,110000
54,RL,50271,9,5,1981,Gd,1842,1842,385000
55,RL,7134,5,5,1955,TA,384,1360,130000
56,RL,10175,6,5,1964,TA,1425,1425,180500
57,FV,2645,8,5,1999,Gd,970,1739,172500
58,RL,11645,7,5,2004,Gd,860,1720,196500
59,RL,13682,10,5,2006,Ex,1410,2945,438780
60,RL,7200,5,7,1972,TA,780,780,124900
61,RL,13072,6,5,2004,TA,1158,1158,158000
62,RM,7200,5,7,1920,TA,530,1111,101000
63,RL,6442,8,5,2006,Gd,1370,1370,202500
64,RM,10300,7,6,1921,TA,576,1710,140000
65,RL,9375,7,5,1997,TA,1057,2034,219500
66,RL,9591,8,5,2004,Gd,1143,2473,317000
67,RL,19900,7,5,1970,TA,1947,2207,180000
68,RL,10665,7,5,2003,Gd,1453,1479,226000
69,RM,4608,4,6,1945,TA,747,747,80000
70,RL,15593,7,4,1953,Gd,1304,2287,225000
71,RL,13651,7,6,1973,TA,2223,2223,244000
72,RL,7599,4,6,1982,TA,845,845,129500
73,RL,10141,7,5,1998,TA,832,1718,185000
74,RL,10200,5,7,1954,TA,1086,1086,144900
75,RM,5790,3,6,1915,Gd,840,1605,107400
76,RM,1596,4,5,1973,TA,462,988,91000
77,RL,8475,4,7,1956,TA,952,952,135750
78,RM,8635,5,5,1948,TA,672,1285,127000
79,RL,10778,4,5,1968,TA,1768,1768,136500
80,RM,10440,5,6,1910,TA,440,1230,110000
81,RL,13000,6,6,1968,TA,896,2142,193500
82,RM,4500,6,5,1998,TA,1237,1337,153500
83,RL,10206,8,5,2007,TA,1563,1563,245000
84,RL,8892,5,5,1960,TA,1065,1065,126500
85,RL,8530,7,5,1995,TA,384,1474,168500
86,RL,16059,8,5,1991,Gd,1288,2417,260000
87,RL,11911,6,5,2005,Gd,684,1560,174000
88,FV,3951,6,5,2009,Gd,612,1224,164500
89,C (all),8470,3,2,1915,Fa,1013,1526,85000
90,RL,8070,4,5,1994,TA,990,990,123600
91,RL,7200,4,5,1950,TA,0,1040,109900
92,RL,8500,5,3,1961,TA,1235,1235,98600
93,RL,13360,5,7,1921,TA,876,964,163500
94,C (all),7200,6,6,1910,TA,1214,2291,133900
95,RL,9337,6,5,1997,TA,824,1786,204750
96,RL,9765,6,8,1993,Ex,680,1470,185000
97,RL,10264,7,5,1999,Gd,1588,1588,214000
98,RL,10921,4,5,1965,TA,960,960,94750
99,RL,10625,5,5,1920,TA,458,835,83000
100,RL,9320,4,5,1959,TA,950,1225,128950
101,RL,10603,6,7,1977,TA,1610,1610,205000
102,RL,9206,6,5,1985,Gd,741,1732,178000
103,RL,7018,5,5,1979,TA,0,1535,118964
104,RL,10402,7,5,2009,TA,1226,1226,198900
